fish_id,magnification,mark_no,dist_btw_markers,dist_to_center,x_position ,y_position,X20_pix_pr_micron
SK08-L151-st65-12b,x20,1,194.126,0,730,466,4.286671851
SK08-L151-st65-12b,x20,2,9.066,194.126,726.54,660.092,4.286671851
SK08-L151-st65-12b,x20,3,10.106,203.192,726.379,669.156,4.286671851
SK08-L151-st65-12b,x20,4,7.702,213.298,726.199,679.261,4.286671851
SK08-L151-st65-12b,x20,5,6.38,221,726.061,686.961,4.286671851
SK08-L151-st65-12b,x20,6,8.19,227.38,725.948,693.34,4.286671851
SK08-L151-st65-12b,x20,7,6.43,235.57,725.802,701.528,4.286671851
SK08-L151-st65-12b,x20,8,8,242,725.687,707.957,4.286671851
SK08-L151-st65-12b,x20,9,12,250,725.544,715.956,4.286671851
SK08-L151-st65-12b,x20,10,13,262,725.331,727.953,4.286671851
SK08-L151-st65-12b,x20,11,12,275,725.099,740.951,4.286671851
SK08-L151-st65-12b,x20,12,16,287,724.885,752.949,4.286671851
SK08-L151-st65-12b,x20,13,12,303,724.6,768.946,4.286671851
SK08-L151-st65-12b,x20,14,13,315,724.386,780.944,4.286671851
SK08-L151-st65-12b,x20,15,14,328,724.154,793.941,4.286671851
SK08-L151-st65-12b,x20,16,19,342,723.905,807.939,4.286671851
SK08-L151-st65-12b,x20,17,16,361,723.566,826.935,4.286671851
SK08-L151-st65-12b,x20,18,24.223,377,723.281,842.932,4.286671851
SK08-L151-st65-12b,x20,19,20.777,401.223,722.849,867.151,4.286671851
SK08-L151-st65-12b,x20,20,20,422,722.479,887.924,4.286671851
SK08-L151-st65-12b,x20,21,30,442,722.123,907.92,4.286671851
SK08-L151-st65-12b,x20,22,15,472,721.588,937.915,4.286671851
SK08-L151-st65-12b,x20,23,0,487,721.321,952.912,4.286671851
SK08-L151-st65-13a,x20,1,161,0,786,484,4.286671851
SK08-L151-st65-13a,x20,2,6,161,648.319,567.45,4.286671851
SK08-L151-st65-13a,x20,3,8,167,643.188,570.56,4.286671851
SK08-L151-st65-13a,x20,4,6,175,636.346,574.706,4.286671851
SK08-L151-st65-13a,x20,5,7,181,631.215,577.816,4.286671851
SK08-L151-st65-13a,x20,6,7,188,625.229,581.444,4.286671851
SK08-L151-st65-13a,x20,7,7,195,619.243,585.072,4.286671851
SK08-L151-st65-13a,x20,8,8,202,613.257,588.7,4.286671851
SK08-L151-st65-13a,x20,9,9,210,606.416,592.847,4.286671851
SK08-L151-st65-13a,x20,10,12,219,598.719,597.512,4.286671851
SK08-L151-st65-13a,x20,11,9,231,588.457,603.731,4.286671851
SK08-L151-st65-13a,x20,12,9,240,580.761,608.396,4.286671851
SK08-L151-st65-13a,x20,13,11,249,573.064,613.061,4.286671851
SK08-L151-st65-13a,x20,14,9,260,563.657,618.762,4.286671851
SK08-L151-st65-13a,x20,15,10,269,555.961,623.427,4.286671851
SK08-L151-st65-13a,x20,16,8,279,547.409,628.61,4.286671851
SK08-L151-st65-13a,x20,17,8,287,540.568,632.757,4.286671851
SK08-L151-st65-13a,x20,18,10,295,533.727,636.903,4.286671851
SK08-L151-st65-13a,x20,19,11.687,305,525.175,642.086,4.286671851
SK08-L151-st65-13a,x20,20,13.313,316.687,515.181,648.144,4.286671851
SK08-L151-st65-13a,x20,21,16,330,503.796,655.044,4.286671851
SK08-L151-st65-13a,x20,22,10,346,490.113,663.337,4.286671851
SK08-L151-st65-13a,x20,23,12.564,356,481.562,668.52,4.286671851
SK08-L151-st65-13a,x20,24,10.436,368.564,470.818,675.032,4.286671851
SK08-L151-st65-13a,x20,25,22.621,379,461.893,680.441,4.286671851
SK08-L151-st65-13a,x20,26,17.379,401.621,442.548,692.166,4.286671851
SK08-L151-st65-13a,x20,27,16,419,427.686,701.174,4.286671851
SK08-L151-st65-13a,x20,28,9.407,435,414.004,709.467,4.286671851
SK08-L151-st65-13a,x20,29,10.593,444.407,405.959,714.343,4.286671851
SK08-L151-st65-13a,x20,30,11,455,396.901,719.833,4.286671851
SK08-L151-st65-13a,x20,31,14.521,466,387.494,725.534,4.286671851
SK08-L151-st65-13a,x20,32,13.479,480.521,375.076,733.061,4.286671851
SK08-L151-st65-13a,x20,33,15.387,494,363.549,740.047,4.286671851
SK08-L151-st65-13a,x20,34,11.613,509.387,350.391,748.022,4.286671851
SK08-L151-st65-13a,x20,35,9.534,521,340.46,754.041,4.286671851
SK08-L151-st65-13a,x20,36,0,530.534,332.307,758.983,4.286671851
SK08-L151-st65-13c,x20,1,172,0,689,554,4.286671851
SK08-L151-st65-13c,x20,2,10,172,828.446,453.313,4.286671851
SK08-L151-st65-13c,x20,3,8,182,836.553,447.459,4.286671851
SK08-L151-st65-13c,x20,4,10,190,843.039,442.776,4.286671851
SK08-L151-st65-13c,x20,5,8,200,851.146,436.922,4.286671851
SK08-L151-st65-13c,x20,6,10,208,857.632,432.239,4.286671851
SK08-L151-st65-13c,x20,7,11,218,865.739,426.385,4.286671851
SK08-L151-st65-13c,x20,8,12,229,874.657,419.946,4.286671851
SK08-L151-st65-13c,x20,9,13,241,884.386,412.921,4.286671851
SK08-L151-st65-13c,x20,10,11,254,894.925,405.311,4.286671851
SK08-L151-st65-13c,x20,11,13.195,265,903.843,398.872,4.286671851
SK08-L151-st65-13c,x20,12,11.101,278.195,914.541,391.148,4.286671851
SK08-L151-st65-13c,x20,13,10.255,289.296,923.541,384.65,4.286671851
SK08-L151-st65-13c,x20,14,12.762,299.551,931.855,378.646,4.286671851
SK08-L151-st65-13c,x20,15,14.06,312.313,942.202,371.175,4.286671851
SK08-L151-st65-13c,x20,16,12.626,326.374,953.601,362.945,4.286671851
SK08-L151-st65-13c,x20,17,10,339,963.837,355.553,4.286671851
SK08-L151-st65-13c,x20,18,9,349,971.945,349.7,4.286671851
SK08-L151-st65-13c,x20,19,9,358,979.241,344.431,4.286671851
SK08-L151-st65-13c,x20,20,6.443,367,986.538,339.163,4.286671851
SK08-L151-st65-13c,x20,21,10.557,373.443,991.761,335.391,4.286671851
SK08-L151-st65-13c,x20,22,11,384,1000.32,329.211,4.286671851
SK08-L151-st65-13c,x20,23,13,395,1009.238,322.772,4.286671851
SK08-L151-st65-13c,x20,24,9,408,1019.778,315.162,4.286671851
SK08-L151-st65-13c,x20,25,9.495,417,1027.075,309.893,4.286671851
SK08-L151-st65-13c,x20,26,9.505,426.495,1034.773,304.335,4.286671851
SK08-L151-st65-13c,x20,27,12,436,1042.48,298.771,4.286671851
SK08-L151-st65-13c,x20,28,17.534,448,1052.209,291.746,4.286671851
