larvae_id,tlgd,sd_lgd
PK_07_19-04-07_01,NA,19.5
PK_07_19-04-07_02,37,NA
PK_07_19-04-07_03,38,NA
PK_07_19-04-07_04,35.6,NA
PK_07_19-04-07_05,34.4,NA
PK_07_19-04-07_06,33,NA
PK_07_19-04-07_07,21.5,NA
PK_07_19-04-07_08,22.2,NA
PK_07_19-04-07_09,30.3,NA
PK_07_19-04-07_10,42.1,NA
PK_07_19-04-07_11,43.9,NA
PK_07_19-04-07_12,34.6,NA
PK_07_19-04-07_13,31.2,NA
PK_07_19-04-07_14,35.8,NA
PK_07_19-04-07_15,27,NA
PK_07_19-04-07_16,34.9,NA
PK_07_19-04-07_17,30.5,NA
PK_07_19-04-07_18,26.2,NA
PK_07_19-04-07_19,31.5,NA
PK_07_19-04-07_20,27.5,NA
PK_07_19-04-07_21,27.7,NA
PK_07_19-04-07_22,33.1,NA
PK_07_19-04-07_23,25.5,NA
PK_07_19-04-07_24,32.3,NA
PK_07_19-04-07_25,NA,NA
PK_07_19-04-07_26,NA,NA
PK_07_19-04-07_27,NA,NA
PK_07_19-04-07_28,NA,NA
PK_07_19-04-07_29,NA,NA
PK_07_19-04-07_30,NA,NA
PK_07_19-04-07_31,NA,NA
PK_07_19-04-07_32,NA,NA
PK_07_19-04-07_33,NA,NA
CA_05_21-04-06_01,20.5,18.5
CA_05_21-04-06_02,37.5,33.8
CA_05_21-04-06_03,34.7,31.4
CA_05_21-04-06_04,32.2,29
CA_05_21-04-06_05,26,23.2
CA_05_21-04-06_06,26.8,NA
CA_05_21-04-06_07,26,24.4
CA_05_21-04-06_08,16,15
CA_05_21-04-06_09,16.2,14.9
CA_05_21-04-06_10,28.2,NA
CA_05_21-04-06_11,31.1,28.1
CA_05_21-04-06_12,30,27.3
CA_05_21-04-06_13,31.6,28.5
CA_05_21-04-06_14,24.4,22.5
CA_05_21-04-06_15,28.1,25.9
CA_05_21-04-06_16,18.1,16.5
CA_05_21-04-06_17,23.6,21.5
CA_05_21-04-06_18,21.5,19.4
CA_05_21-04-06_19,13.5,12.4
CA_05_21-04-06_20,17,15.3
CY_38_02-05-06_01,34.7,31.5
CY_38_02-05-06_02,39.7,36.2
CY_38_02-05-06_03,43,39.3
CY_38_02-05-06_04,39.5,35.9
CY_38_02-05-06_05,33.2,30.1
CY_38_02-05-06_06,33.6,30.3
CY_38_02-05-06_07,42.6,39.6
CY_38_02-05-06_08,35.7,32.2
CY_38_02-05-06_09,33.5,30
CY_38_02-05-06_10,33.5,30.2
CY_38_02-05-06_11,37.6,34
CY_38_02-05-06_12,31,27.9
CY_38_02-05-06_13,29.6,26.8
CY_38_02-05-06_14,33.5,30.2
CY_38_02-05-06_15,25,22.5
CY_38_02-05-06_16,25.5,23.5
CY_38_02-05-06_17,23.1,20.7
CY_38_02-05-06_18,26.3,23.8
CY_38_02-05-06_19,22.5,20.6
CY_38_02-05-06_20,21.5,19.1
CY_02_20-04-06_01,34.9,31.3
CY_02_20-04-06_02,35.4,32.1
CY_02_20-04-06_03,26.2,23.5
CY_02_20-04-06_04,25.4,23.3
CY_02_20-04-06_05,30.1,27.4
CY_02_20-04-06_06,24.5,22
CY_02_20-04-06_07,33.7,30.6
CY_02_20-04-06_08,27.1,24.3
CY_02_20-04-06_09,24.2,22.1
CY_02_20-04-06_10,21.9,19.9
CY_02_20-04-06_11,24.2,22
CY_02_20-04-06_12,26.5,24.2
CY_02_20-04-06_13,23.6,21.2
CY_02_20-04-06_14,19.6,17.9
CY_02_20-04-06_15,14.9,14
CY_02_20-04-06_16,15.2,14.1
CY_02_20-04-06_17,17.7,16.2
CY_02_20-04-06_18,28.5,25.8
CY_02_20-04-06_19,17.6,15.9
CY_02_20-04-06_20,18,16.2
CY_25_22-04-06_01,24.8,23.1
CY_25_22-04-06_02,21.3,19.4
CY_25_22-04-06_03,34.4,31.2
CY_25_22-04-06_04,17.5,NA
CY_25_22-04-06_05,23.8,21.8
CY_25_22-04-06_06,29.8,27.6
CY_25_22-04-06_07,26.2,24
CY_25_22-04-06_08,29.2,27.3
CY_25_22-04-06_09,22.8,NA
CY_25_22-04-06_10,31.1,28.3
CY_25_22-04-06_11,22.2,20.3
CY_25_22-04-06_12,35,31.9
CY_25_22-04-06_13,24.5,22.8
CY_25_22-04-06_14,23.1,NA
CY_25_22-04-06_15,18.8,17
CY_25_22-04-06_16,28.2,25.8
CY_25_22-04-06_17,26,23.6
CY_25_22-04-06_18,NA,15.4
CY_25_22-04-06_19,18.8,17.5
CY_25_22-04-06_20,19.2,18.3
CY_37_01-05-06_01,36.5,33.5
CY_37_01-05-06_02,35.6,32
CY_37_01-05-06_03,36.7,33.2
CY_37_01-05-06_04,24.7,22.5
