KorTobis_sample_id,shipname,shipid,ccruise,trip_no,Calib_id_sas,samp_no,MIK_ID,location_orig,posixct_time,year,monthh,dayy,st_hour,st_min,stlondec,E_W,stlatdec,st_flow,en_flow,delta_flow,depth_m,N_tot
CA_05_21-04-06,Allesøe,E400,E400 04/1mMIK,1,15,5,4,Falles Bank,20060421,2006,4,21,0,54,1.57333,E,54.255,6234,8603,2369,32.028,268
CY_02_20-04-06,Cattleya,E349,E349 04/1mMIK,1,17,2,14,couster,20060420,2006,4,20,20,0,1.9804,E,54.4593,1390,3410,2020,15,236
CY_25_22-04-06,Cattleya,E349,E349 04/1mMIK,1,17,25,37,Chr Venø,20060422,2006,4,22,21,20,1.55072,E,54.6458,53253,57322,4069,20,916
CY_37_01-05-06,Cattleya,E349,E349 04/1mMIK,1,17,37,49,Nord Kant,20060501,2006,5,1,23,45,2.95433,E,55.3367,57920,63250,5330,25,994
CY_38_02-05-06,Cattleya,E349,E349 04/1mMIK,1,17,38,50,Rockrall,20060502,2006,5,2,2,0,3.46342,E,55.1288,63250,67982,4732,21,145
PK_01_15-04-08,Pernille Kim,L151,NA,2,NA,1,14,Rock Hall,20080415,2008,4,15,22,50,3.47433,E,55.10583,47620,51878,4258,26,NA
PK_04_16-04-08,Pernille Kim,L151,NA,2,NA,4,17,Lissis Revle,20080416,2008,4,16,22,0,1.48567,E,56.62633,61029,65699,4670,26,NA
PK_06_17-04-08,Pernille Kim,L151,NA,2,NA,6,19,Rute 64,20080417,2008,4,17,1,2,1.29883,E,54.38967,70691,74824,4133,44,NA
PK_08_20-04-08,Pernille Kim,L151,NA,2,NA,8,21,Hjulaksel,20080420,2008,4,20,22,55,3.33532,E,55.08393,5933,8581,2648,26,NA
PK_09_21-04-08,Pernille Kim,L151,NA,2,NA,9,22,Karl Jolle,20080421,2008,4,21,0,45,3.6385,E,55.19283,8582,11097,2515,28,NA
PK_12_22-04-08,Pernille Kim,L151,NA,2,NA,12,25,Monky Banke,20080422,2008,4,22,0,15,6.17567,E,56.539,18611,21994,3383,27,NA
PK_03_24-04-08,Pernille Kim,L151,NA,3,NA,3,28,Camilla Røn,20080424,2008,4,24,0,57,6.66567,E,57.0755,17515,23371,5856,56,NA
PK_04_24-04-08,Pernille Kim,L151,NA,3,NA,4,29,Stejle Kant,20080424,2008,4,24,2,7,6.54333,E,56.98833,23371,29413,6042,62,NA
PK_07_25-04-08,Pernille Kim,L151,NA,3,NA,7,32,Flyverrende,20080425,2008,4,25,2,55,6.14683,E,56.89883,41396,48059,6663,51,NA
DA_04_18-04-08,Darwin,E689,NA,5,NA,4,37,Soutermans Ruff,20080418,2008,4,18,22,10,1.156,E,54.61667,65124,69280,4156,32.4,NA
DA_05_20-04-08,Darwin,E689,NA,5,NA,5,38,Nordwest Ruff,20080420,2008,4,20,22,45,1.3295,E,55.03967,69403,73395,3992,27,NA
PK_02_17-04-09,Pernille-Kim,L-151,NA,2,NA,2,NA,NW Rough,20090417,2009,4,17,22,0,1.31333,W,55.08833,54352,58538,4186,42,1714
PK_06_18-04-09,Pernille-Kim,L-151,NA,2,NA,6,NA,Sorel Sten,20090418,2009,4,18,4,3,1.56833,W,55.26033,73805,79838,6033,35,1657
PK_07_19-04-09,Pernille-Kim,L-151,NA,2,NA,7,NA,Jerh Plade,20090419,2009,4,19,22,30,1.39133,W,54.90317,79840,83959,4119,24,520
PK_02_25-04-09,Pernille-Kim,L-151,NA,3,NA,2,NA,Grund N af Bette Banke,20090425,2009,4,25,1,0,6.43233,W,56.61817,33096,36621,3525,30,339
PK_06_26-04-09,Pernille-Kim,L-151,NA,3,NA,6,NA,Middel Rough,20090426,2009,4,26,22,50,2.97733,NA,55.45833,44743,47994,3251,36,339
PK_08_27-04-09,Pernille-Kim,L-151,NA,3,NA,8,NA,Sort Bund,20090427,2009,4,27,2,25,3.5,NA,55.481,50696,54014,3318,30,NA
PK_02_05-05-09,Pernille-Kim,L-151,NA,4,NA,2,NA,Stejle Skrænt,20090505,2009,5,5,23,50,6.6,NA,56.97867,89570,93017,3447,55,154
