KorTobis_sample_id,sub_sample,sd_lgd
PK_06_18-04-09,1,30.0
PK_06_18-04-09,1,43.0
PK_06_18-04-09,1,29.5
PK_06_18-04-09,1,29.0
PK_06_18-04-09,1,41.5
PK_06_18-04-09,1,41.0
PK_06_18-04-09,1,30.5
PK_06_18-04-09,1,38.0
PK_06_18-04-09,1,42.5
PK_06_18-04-09,1,44.0
PK_06_18-04-09,1,35.0
PK_06_18-04-09,1,24.5
PK_06_18-04-09,1,42.5
PK_06_18-04-09,1,30.0
PK_06_18-04-09,1,38.5
PK_06_18-04-09,1,25.0
PK_06_18-04-09,1,29.5
PK_06_18-04-09,1,38.0
PK_06_18-04-09,1,32.0
PK_06_18-04-09,2,44.5
PK_06_18-04-09,2,32.5
PK_06_18-04-09,2,45.0
PK_06_18-04-09,2,25.5
PK_06_18-04-09,2,39.5
PK_06_18-04-09,2,34.5
PK_06_18-04-09,2,33.0
PK_06_18-04-09,2,27.0
PK_06_18-04-09,2,41.5
PK_06_18-04-09,2,39.0
PK_06_18-04-09,2,27.5
PK_06_18-04-09,2,29.0
PK_06_18-04-09,2,41.5
PK_06_18-04-09,2,36.5
PK_06_18-04-09,2,34.0
PK_06_18-04-09,2,26.0
PK_06_18-04-09,2,43.0
PK_06_18-04-09,2,30.0
PK_06_18-04-09,3,39.5
PK_06_18-04-09,3,40.5
PK_06_18-04-09,3,42.0
PK_06_18-04-09,3,35.0
PK_06_18-04-09,3,32.0
PK_06_18-04-09,3,45.5
PK_06_18-04-09,3,32.0
PK_06_18-04-09,3,22.5
PK_06_18-04-09,3,41.5
PK_06_18-04-09,3,34.5
PK_06_18-04-09,3,30.0
PK_06_18-04-09,3,32.0
PK_06_18-04-09,3,40.5
PK_06_18-04-09,3,39.5
PK_06_18-04-09,3,42.0
PK_06_18-04-09,3,30.5
PK_06_18-04-09,3,22.5
PK_06_18-04-09,3,40.5
PK_06_18-04-09,3,32.0
PK_06_18-04-09,3,22.5
PK_08_27-04-09,1,45.5
PK_08_27-04-09,1,39.0
PK_08_27-04-09,1,45.5
PK_08_27-04-09,1,34.5
PK_08_27-04-09,1,32.5
PK_08_27-04-09,1,41.0
PK_08_27-04-09,1,42.5
PK_08_27-04-09,1,46.5
PK_08_27-04-09,1,37.5
PK_08_27-04-09,1,23.5
PK_08_27-04-09,1,16.0
PK_08_27-04-09,1,38.0
PK_08_27-04-09,1,45.5
PK_08_27-04-09,1,52.0
PK_08_27-04-09,1,43.0
