"meta_id","latPosStartDec","lonPosStartDec","day","month","year","rdate","station","fishery_dredge"
"TBM09-J257-5",54.5666666666667,1.25,"04","04","2009",2009-04-04,5,"Fishery"
"TBM09-J303-1",54.6166666666667,1.18333333333333,"08","04","2009",2009-04-08,1,"Fishery"
"TBM09-J304-2",54.55,1.25,"09","04","2009",2009-04-09,2,"Fishery"
"TBM09-J313-2",54.6333333333333,1.15,"02","04","2009",2009-04-02,2,"Fishery"
"TBM09-J314-3",54.5833333333333,1.2,"02","04","2009",2009-04-02,3,"Fishery"
"TBM10-J274-2",55.1666666666667,1.39466666666667,"13","05","2010",2010-05-13,2,"Fishery"
"TBM10-J275-3",55.1,1.38333333333333,"14","05","2010",2010-05-14,3,"Fishery"
"TBM10-J290-7",55,1.33333333333333,"16","05","2010",2010-05-16,7,"Fishery"
"TBM10-J318-5",55.1333333333333,1.33333333333333,"09","05","2010",2010-05-09,5,"Fishery"
"TBM10-J319-1",55.2833333333333,1.15,"17","04","2010",2010-04-17,1,"Fishery"
"TBM10-J320-2",55.3,1.13333333333333,"18","04","2010",2010-04-18,2,"Fishery"
"TBM10-J325-8",55.2333333333333,1.33333333333333,"23","04","2010",2010-04-23,8,"Fishery"
"TBM10-J338-5",54.6666666666667,1.13333333333333,"08","04","2010",2010-04-08,5,"Fishery"
"SK08-L151-17",54.852166,1.434,"07","12","2008",2008-12-07,17,"Dredge"
"SK08-L151-22",55.015166,1.353,"07","12","2008",2008-12-07,22,"Dredge"
"SK08-L151-59",54.566333,1.2595,"09","12","2008",2008-12-09,59,"Dredge"
"SK08-L151-65",54.540833,1.568333,"09","12","2008",2008-12-09,65,"Dredge"
"SK08-L151-68",54.546,1.629166,"09","12","2008",2008-12-09,68,"Dredge"
"SK09-R500-30",54.564666,1.268333,"26","11","2009",2009-11-26,30,"Dredge"
"SK09-R500-78",54.847333,1.430833,"28","11","2009",2009-11-28,78,"Dredge"
