"pic_id","mark_no"
"CA_05_21-04-06_01_i1_hX40",2
"CA_05_21-04-06_01_i1_hX40",3
"CA_05_21-04-06_01_i1_hX40",4
"CA_05_21-04-06_01_i1_hX40",5
"CA_05_21-04-06_01_i1_hX40",6
"CA_05_21-04-06_01_i1_vX40",2
"CA_05_21-04-06_01_i1_vX40",3
"CA_05_21-04-06_01_i1_vX40",4
"CA_05_21-04-06_01_i1_vX40",5
"CA_05_21-04-06_02_i1_vX40",12
"CA_05_21-04-06_04_i1_hX40",2
"CA_05_21-04-06_05_i1_hX40",2
"CA_05_21-04-06_05_i1_vX40",2
"CA_05_21-04-06_05_i1_vX40",3
"CA_05_21-04-06_05_i1_vX40",4
"CA_05_21-04-06_05_i1_vX40",5
"CA_05_21-04-06_05_i1_vX40",6
"CA_05_21-04-06_05_i1_vX40",7
"CA_05_21-04-06_05_i1_vX40",8
"CA_05_21-04-06_05_i1_vX40",9
"CA_05_21-04-06_06_i1_hX40",2
"CA_05_21-04-06_06_i1_hX40",3
"CA_05_21-04-06_06_i1_hX40",4
"CA_05_21-04-06_06_i1_hX40",5
"CA_05_21-04-06_06_i1_hX40",6
"CA_05_21-04-06_06_i1_hX40",7
"CA_05_21-04-06_06_i1_hX40",8
"CA_05_21-04-06_07_i1_hX40",2
"CA_05_21-04-06_07_i1_hX40",3
"CA_05_21-04-06_07_i1_hX40",6
"CA_05_21-04-06_06_i1_hX40",2
"CA_05_21-04-06_06_i1_hX40",3
"CA_05_21-04-06_06_i1_hX40",4
"CA_05_21-04-06_06_i1_hX40",5
"CA_05_21-04-06_06_i1_hX40",6
"CA_05_21-04-06_06_i1_hX40",7
"CA_05_21-04-06_06_i1_hX40",8
"CA_05_21-04-06_07_i1_vX40",2
"CA_05_21-04-06_07_i1_vX40",3
"CA_05_21-04-06_07_i1_vX40",4
"CA_05_21-04-06_07_i1_vX40",5
"CA_05_21-04-06_07_i1_vX40",6
"CA_05_21-04-06_07_i1_vX40",7
"CA_05_21-04-06_08_i1_hX40",2
"CA_05_21-04-06_08_i1_hX40",3
"CA_05_21-04-06_08_i1_hX40",4
"CA_05_21-04-06_08_i1_hX40",5
"CA_05_21-04-06_08_i1_hX40",6
"CA_05_21-04-06_08_i1_vX40",7
"CA_05_21-04-06_09_i1_hX60",2
"CA_05_21-04-06_09_i1_hX60",3
