sampleId,year,cruise,trip,station,fishingtime,gearQuality,latPosStartDec,lonPosStartDec,latPosEndDec,lonPosEndDec,latPosStartText,lonPosStartText,latPosEndText,lonPosEndText,distancepositions,dfuarea,db_square,sq_mark,square,datestart,timestart,dateend,timeend,new_position,Area,gear
82744,2008,L151,1,125,0,V,55.142666,5.316333,55.142666,5.316333,55.08.56   N,005.18.98   E,55.08.56   N,005.18.98   E,0,4B,39F5,Forskellige,,12/12/2008,01:54,12/12/2008,01:54,0,,VVNY
82739,2008,L151,1,120,0,V,56.146833,5.324833,56.146833,5.324833,56.08.81   N,005.19.49   E,56.08.81   N,005.19.49   E,0,4B,41F5,Forskellige,,12/12/2008,00:38,12/12/2008,00:38,0,,VVNY
82743,2008,L151,1,124,0,V,56.141833,5.318833,56.141833,5.318833,56.08.51   N,005.19.13   E,56.08.51   N,005.19.13   E,0,4B,41F5,Forskellige,,12/12/2008,01:46,12/12/2008,01:46,0,,VVNY
82740,2008,L151,1,121,10,V,56.145166,5.3205,56.139333,5.3175,56.08.71   N,005.19.23   E,56.08.36   N,005.19.05   E,0.364,4B,41F5,Forskellige,,12/12/2008,00:46,12/12/2008,00:56,0,,DK1
82443,2008,L151,1,27,19,V,54.2625,0.8065,54.255333,0.792333,54.15.75   N,000.48.39   E,54.15.32   N,000.47.54   E,0.657,4B,37F0,Forskellige,,08/12/2008,15:42,08/12/2008,16:01,0,,DK1
82742,2008,L151,1,123,10,V,56.1405,5.324,56.144,5.314166,56.08.43   N,005.19.44   E,56.08.64   N,005.18.85   E,0.39,4B,41F5,Forskellige,,12/12/2008,01:25,12/12/2008,01:35,0,,DK1
82745,2008,L151,1,126,0,V,55.143333,5.316,55.143333,5.316,55.08.60   N,005.18.96   E,55.08.60   N,005.18.96   E,0,4B,39F5,Forskellige,,12/12/2008,01:57,12/12/2008,01:57,0,,VVNY
82741,2008,L151,1,122,10,V,56.140833,5.313833,56.143333,5.323833,56.08.45   N,005.18.83   E,56.08.60   N,005.19.43   E,0.366,4B,41F5,Forskellige,,12/12/2008,01:07,12/12/2008,01:17,0,,DK1
82746,2008,L151,1,127,0,V,56.143666,5.315666,56.143666,5.315666,56.08.62   N,005.18.94   E,56.08.62   N,005.18.94   E,0,4B,41F5,Forskellige,,12/12/2008,02:01,12/12/2008,02:01,0,,VVNY
87061,2009,R500,1,27,10,V,54.316833,0.9255,54.314166,0.934333,54.19.01   N,000.55.53   E,54.18.85   N,000.56.06   E,0.348,4B,37F0,Ens,37F0,26/11/2009,20:39,26/11/2009,20:49,3760.05,1,DK2
91864,2010,R500,1,56,10,V,54.316833,0.933166,54.314166,0.922833,54.19.01   N,000.55.99   E,54.18.85   N,000.55.37   E,0.395,4B,37F0,Ens,37F0,25/11/2010,18:56,25/11/2010,19:06,3760.05,1,DK2
87051,2009,R500,1,17,0,V,54.214833,0.797333,54.214833,0.797333,54.12.89   N,000.47.84   E,54.12.89   N,000.47.84   E,0,4B,37F0,Ens,37F0,26/11/2009,16:53,26/11/2009,16:53,3760.03,1,VVNY
91866,2010,R500,1,58,10,V,54.312166,0.928666,54.319333,0.929333,54.18.73   N,000.55.72   E,54.19.16   N,000.55.76   E,0.43,4B,37F0,Ens,37F0,25/11/2010,19:33,25/11/2010,19:43,3760.05,1,DK2
91856,2010,R500,1,50,10,V,54.209333,0.796833,54.2384,0.799666,54.12.56   N,000.47.81   E,54.14.304  N,000.47.98   E,1.748,4B,37F0,Ens,37F0,25/11/2010,15:48,25/11/2010,15:58,3760.03,1,DK2
82453,2008,L151,1,37,10,V,54.313333,0.930833,54.318333,0.925,54.18.80   N,000.55.85   E,54.19.10   N,000.55.50   E,0.363,4B,37F0,Ens,37F0,08/12/2008,21:24,08/12/2008,21:34,3760.05,1,DK1
82450,2008,L151,1,34,10,V,54.264333,0.801833,54.26,0.794166,54.15.86   N,000.48.11   E,54.15.60   N,000.47.65   E,0.374,4B,37F0,Ens,37F0,08/12/2008,18:40,08/12/2008,18:50,3760.04,1,DK1
91863,2010,R500,1,55,10,V,54.2635,0.795666,54.257333,0.8,54.15.81   N,000.47.74   E,54.15.44   N,000.48.00   E,0.4,4B,37F0,Ens,37F0,25/11/2010,17:49,25/11/2010,17:59,3760.04,1,DK2
82447,2008,L151,1,31,10,V,54.218,0.798333,54.212,0.798833,54.13.08   N,000.47.90   E,54.12.72   N,000.47.93   E,0.36,4B,37F0,Ens,37F0,08/12/2008,17:42,08/12/2008,17:52,3760.03,1,DK1
87056,2009,R500,1,22,10,V,54.265333,0.803166,54.258833,0.796666,54.15.92   N,000.48.19   E,54.15.53   N,000.47.80   E,0.451,4B,37F0,Ens,37F0,26/11/2009,18:35,26/11/2009,18:45,3760.04,1,DK2
87055,2009,R500,1,21,0,V,54.254166,0.798166,54.254166,0.798166,54.15.25   N,000.47.89   E,54.15.25   N,000.47.89   E,0,4B,37F0,Ens,37F0,26/11/2009,18:24,26/11/2009,18:24,3760.04,1,VVNY
87062,2009,R500,1,28,10,V,54.313333,0.928833,54.318666,0.929833,54.18.80   N,000.55.73   E,54.19.12   N,000.55.79   E,0.322,4B,37F0,Ens,37F0,26/11/2009,20:57,26/11/2009,21:07,3760.05,1,DK2
82444,2008,L151,1,28,0,V,54.2135,0.799166,54.2135,0.799166,54.12.81   N,000.47.95   E,54.12.81   N,000.47.95   E,0,4B,37F0,Ens,37F0,08/12/2008,16:54,08/12/2008,16:54,3760.03,1,VVNY
82449,2008,L151,1,33,10,V,54.259833,0.801166,54.2655,0.797666,54.15.59   N,000.48.07   E,54.15.93   N,000.47.86   E,0.361,4B,37F0,Ens,37F0,08/12/2008,18:22,08/12/2008,18:32,3760.04,1,DK1
82452,2008,L151,1,36,0,V,54.314333,0.9265,54.314333,0.9265,54.18.86   N,000.55.59   E,54.18.86   N,000.55.59   E,0,4B,37F0,Ens,37F0,08/12/2008,21:14,08/12/2008,21:14,3760.05,1,VVNY
87058,2009,R500,1,24,10,V,54.259333,0.8025,54.264833,0.7985,54.15.56   N,000.48.15   E,54.15.89   N,000.47.91   E,0.358,4B,37F0,Ens,37F0,26/11/2009,19:14,26/11/2009,19:24,3760.04,1,DK2
82454,2008,L151,1,38,10,V,55.318333,0.930666,55.312166,0.926,55.19.10   N,000.55.84   E,55.18.73   N,000.55.56   E,0.403,4B,39F0,Forskellige,37F0,08/12/2008,21:44,08/12/2008,21:54,3760.05,1,DK1
82451,2008,L151,1,35,10,V,54.262666,0.7945,54.2615,0.804333,54.15.76   N,000.47.67   E,54.15.69   N,000.48.26   E,0.351,4B,37F0,Ens,37F0,08/12/2008,20:26,08/12/2008,20:36,3760.04,1,DK1
82445,2008,L151,1,29,10,V,54.214,0.795,54.216833,0.804166,54.12.84   N,000.47.70   E,54.13.01   N,000.48.25   E,0.364,4B,37F0,Ens,37F0,08/12/2008,17:07,08/12/2008,17:17,3760.03,1,DK1
87059,2009,R500,1,25,0,V,54.3165,0.927166,54.3165,0.927166,54.18.99   N,000.55.63   E,54.18.99   N,000.55.63   E,0,4B,37F0,Ens,37F0,26/11/2009,20:10,26/11/2009,20:10,3760.05,1,VVNY
91860,2010,R500,1,53,10,V,54.258833,0.798833,54.265166,0.799833,54.15.53   N,000.47.93   E,54.15.91   N,000.47.99   E,0.381,4B,37F0,Ens,37F0,25/11/2010,17:06,25/11/2010,17:16,3760.04,1,DK2
91862,2010,R500,1,54,10,V,54.263666,0.8035,54.264833,0.7915,54.15.82   N,000.48.21   E,54.15.89   N,000.47.49   E,0.426,4B,37F0,Ens,37F0,25/11/2010,17:36,25/11/2010,17:46,3760.04,1,DK2
87060,2009,R500,1,26,10,V,54.317,0.933333,54.3145,0.924,54.19.02   N,000.56.00   E,54.18.87   N,000.55.44   E,0.359,4B,37F0,Ens,37F0,26/11/2009,20:20,26/11/2009,20:30,3760.05,1,DK2
91859,2010,R500,1,52,10,V,54.2155,0.792166,54.214833,0.803333,54.12.93   N,000.47.53   E,54.12.89   N,000.48.20   E,0.394,4B,37F0,Ens,37F0,25/11/2010,16:25,25/11/2010,16:35,3760.04,1,DK2
87052,2009,R500,1,18,10,V,54.212666,0.802166,54.217833,0.797,54.12.76   N,000.48.13   E,54.13.07   N,000.47.82   E,0.359,4B,37F0,Ens,37F0,26/11/2009,17:06,26/11/2009,17:16,3760.03,1,DK2
