Navn,latPosStartText,lonPosStartText,latPosEndText,lonPosEndText,Dato,Station
TBM09-J342,54:37.0000:N,01:12.0000:E,54:34.0000:N,01:15.0000:E,07/04/2009,2
TBM09-J303,54:37.0000:N,01:11.0000:E,54:33.0000:N,01:15.0000:E,08/04/2009,1
TBM09-J304,54:33.0000:N,01:15.0000:E,54:41.0000:N,01:07.0000:E,09/04/2009,2
TBM09-J309,54:33.0000:N,01:15.0000:E,54:36.0000:N,01:11.0000:E,11/04/2009,7
TBM09-J313,54:38.0000:N,01:09.0000:E,54:35.0000:N,01:12.0000:E,02/04/2009,2
TBM09-J314,54:35.0000:N,01:12.0000:E,54:40.0000:N,01:06.0000:E,02/04/2009,3
TBM09-J257,54:34.0000:N,01:15.0000:E,54:34.0000:N,01:15.0000:E,04/04/2009,5
TBM09-J394,54:32.0000:N,01:11.0000:E,54:33.0000:N,01:09.0000:E,01/05/2009,13
TBM09-J354,54:38.0000:N,01:09.0000:E,54:38.0000:N,01:09.0000:E,29/04/2009,7
TBM10-J280,55:09.0000:N,01:22.0000:E,55:03.0000:N,01:18.0000:E,07/05/2010,2
TBM10-J281,55:03.0000:N,01:22.0000:E,55:08.0000:N,01:23.0000:E,08/05/2010,5
TBM10-J274,55:10.0000:N,01:23.6800:E,55:06.0000:N,01:23.4400:E,13/05/2010,2
TBM10-J275,55:06.0000:N,01:23.0000:E,55:09.0000:N,01:23.7000:E,14/05/2010,3
TBM10-J290,55:00.0000:N,01:20.0000:E,55:02.0000:N,01:21.0000:E,16/05/2010,7
TBM10-J319,55:17.0000:N,01:09.0000:E,55:13.0000:N,01:06.0000:E,17/04/2010,1
TBM10-J320,55:18.0000:N,01:08.0000:E,55:07.0000:N,01:04.0000:E,18/04/2010,2
TBM10-J325,55:14.0000:N,01:20.0000:E,55:09.0000:N,01:21.0000:E,23/04/2010,8
TBM10-J318,55:08.0000:N,01:20.0000:E,55:18.0000:N,01:26.0000:E,09/05/2010,5
TBM10-J338,54:40.0000:N,01:08.0000:E,54:32.0000:N,01:09.0000:E,08/04/2010,5
